word,Overall,A,B,C,D,A_Per,B_Per,C_Per,D_Per,Include?
showed,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
cracked,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
walls,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
sagging,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
inside,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
floors,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
stairways,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
four,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
ftoloy,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
5500,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
cash,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
each,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
multifamily20,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,Y
total,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
conveninet,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,Y
westpoorly,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
filled,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
speaking,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
poi9nt,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
stroot,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
wheeler,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
provide,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
widening,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
join,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
blv,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
connection,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
entrance,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
bronxwhitestonelong,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1516,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
tremont,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
approaches,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
216th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
229th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
created,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
eastchester,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
wilson,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
180th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
184th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
encroachments,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
getting,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
grotona,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
spanish,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,Y
unstable,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
relief,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
load,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
everywhere,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
schols,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
enchroachment,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
rentable,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
consequential,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
triboro,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
attracting,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
accessibility,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
146th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
160th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
dilapidated,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
shack,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
2023,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
futre,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
offerings,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
crescent,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
athletic,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
83rd,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
85th,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
wellmaintained,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
oldfashioned,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
shipping,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
lessened,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,Y
drop,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
wall,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
furman,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
2040,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
con,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
verted,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
410,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
13,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
unfurnished,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
varies,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
wuality,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
vaues,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
rising,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
absorb,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
unmarried,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
protective,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,Y
attracctive,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,Y
j,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
h,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
difficult,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
thouth,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
situation,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
attractively,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
fares,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
1422,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
modernized,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
middle,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,Y
twofare,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
system,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
incomplete,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
parochial,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
improving,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
attached,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
tennis,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
handball,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
shaded,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
protection,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,Y
624,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
peninsular,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
preserved,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
steep,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
plots,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
off,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
dead,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
atop,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
beautified,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
subward,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
fireproof,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
1835,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
profitable,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,Y
properly,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
example,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
expenditure,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
18000,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
10000,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
yields,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
5600,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
gross,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
duo,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
current,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
23,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
botanical,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
yr,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
630,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
121750,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
midtown,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
thoroughface,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
president,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
kingston,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
1300030000,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
down,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
town,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
38,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
1223,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
lincoln,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
genmore,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
perpetual,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
restriction,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
playgrounds,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
eas,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
holy,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
cross,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
mentally,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,Y
deficient,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,Y
otherwise,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
includes,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
ditmas,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
campus,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
foster,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
caton,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
2228,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
f,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
zones,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
namely,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
beverly,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
stratford,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
marlborough,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
owls,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
head,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
ridge,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
station,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
ferry,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
1315,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
1822,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
unsuitable,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
increasing,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
gold,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
government,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
reservation,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
69th,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
91st,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
found,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
loving,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
fewer,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
sunset,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
illegible,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
typed,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
thereby,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
italians,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
39th,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
620,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1525,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
rening,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
15th,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
greenwood,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1522per,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
816,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
hospital,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
grounds,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
southward,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
b4,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
junk,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
parkside,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
915,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
thoroughfares,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
98th,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
sutter,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
joined,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
strike,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
agitation,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
dykon,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
tot,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
he,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
750950,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
decidedly,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
contiguous,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
civic,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
circumferencial,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1618,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
degrees,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
cropsey,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
structur,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1620,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
locust,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
elm,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
fashioned,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
contempleted,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
circumferential,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
installed,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
group,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
sea,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
gate,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
association,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
mantenance,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
policing,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
equal,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,Y
regular,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
hour,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
resort,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
gradual,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
original,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
moved,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
common,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
practice,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
instances,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
illegal,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
gates,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
purpose,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
guarded,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
special,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
police,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
night,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
calues,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1113,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1823,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
y,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
bedford,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
emmons,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
fort,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
greene,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
2035,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1720,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
waverly,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
12002000,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
ownershp,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
german,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,R
keep,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
orderly,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
floor,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
818,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
slope,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
controlling,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
factor,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
811,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1218,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
adversly,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
owners,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
anxious,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
cemeteries,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
sunrise,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
industries,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
yet,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
removed,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
freight,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
57,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
heterogeneous,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,R
vendors,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
curb,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
agitated,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
strikes,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
give,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
untidy,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
penssylvania,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
greater,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
boundary,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
ozone,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
undeveloped,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
b9,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
affecting,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
60th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
shipyards,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
danish,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,R
polish,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,R
swedish,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,R
pockets,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
16th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
curbs,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
rns,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
rebtubg,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
income,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
likelihood,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
dumpssparsely,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
typos,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
l,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
swamps,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
lafayette,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
sanitary,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
stillwell,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
benefits,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
cited,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
1b,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
living,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
laid,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
barns,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
doubled,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
neck,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
running,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
stucco,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
600011000,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
comination,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
flushing,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
naval,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
hostpital,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
connect,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
meeker,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
newtown,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
creek,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
dockswarehousesindustrial,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
wallabout,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
4060,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
59,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
45,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
pwa,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
leonard,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
unsightly,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
coupled,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
retarded,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,Y
speculative,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
gerritson,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
sewerage,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
paved,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
omitted,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
residence,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
intermingled,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,R
amusement,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
crowds,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
confusion,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
buyers,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
intention,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
combining,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
hair,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
dressing,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
tailoring,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
repairing,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
navy,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
yard,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
overhead,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
shifting,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
rentring,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
37,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
battery,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
accomplished,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
lorraine,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
dwight,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
clinton,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
merate,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
red,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
hook,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
heterogenous,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,R
616,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
3550,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
case,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
maintenance,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
612,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
semislum,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,Y
affects,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
c3,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
nw,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
light,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
auto,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
accessories,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
shows,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
48,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
69,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
